Name	Taste	Reference	SMILES	Canonical SMILES	Sweet
delta-Undecalactone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCC1CCCC(=O)O1	CCCCCCC1CCCC(=O)O1	True
HEPTANOIC ACID	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCC(=O)O	CCCCCCC(=O)O	True
trans-2-Hexenyl valerate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCC(=O)OC/C=C/CCC	CCC/C=C/COC(=O)CCCC	True
Methylthiomethyl butyrate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCC(=O)OCSC	CCCC(=O)OCSC	True
Isoeugenyl phenylacetate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C/C=C/C1=CC(=C(C=C1)OC(=O)CC2=CC=CC=C2)OC	C/C=C/c1ccc(c(c1)OC)OC(=O)Cc1ccccc1	True
ethyl (E)-2-methylpent-3-enoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCOC(=O)C(C)/C=C/C	CCOC(=O)C(/C=C/C)C	True
cis-3-Hexenyl isovalerate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC/C=C\CCOC(=O)CC(C)C	CC/C=C\CCOC(=O)CC(C)C	True
2,4-HEXADIEN-1-OL	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C/C=C/C=C/CO	C/C=C/C=C/CO	True
Ethyl 2-methyl-4-pentenoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCOC(=O)C(C)CC=C	CC(C(=O)OCC)CC=C	True
Methyl 2-(methylamino)benzoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CNC1=CC=CC=C1C(=O)OC	COC(=O)c1ccccc1NC	True
Methyl 2-methoxybenzoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	COC1=CC=CC=C1C(=O)OC	COC(=O)c1ccccc1OC	True
3,4-Dimethyl-1,2-cyclopentanedione	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1CC(=O)C(=O)C1C	CC1CC(=O)C(=O)C1C	True
2-NONANONE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCC(=O)C	CCCCCCCC(=O)C	True
3-METHYLCYCLOHEXANONE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1CCCC(=O)C1	CC1CCCC(=O)C1	True
80417-97-6	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1CCC2=C(C(=O)OC2=C1)C	CC1CCC2=C(C(=O)OC2=C1)C	True
ALPHA-IONONE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1=CCCC(C1/C=C/C(=O)C)(C)C	CC(=O)/C=C/C1C(=CCCC1(C)C)C	True
Trithioacetone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1(SC(SC(S1)(C)C)(C)C)C	CC1(C)SC(C)(C)SC(S1)(C)C	True
ETHYL NONANOATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCCC(=O)OCC	CCCCCCCCC(=O)OCC	True
Hexyl isovalerate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCOC(=O)CC(C)C	CCCCCCOC(=O)CC(C)C	True
NEROLIDOL	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C	C=CC(CC/C=C(/CCC=C(C)C)\C)(O)C	True
(+)-cis-alpha-Irone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C[C@@H]1CC=C([C@@H](C1(C)C)/C=C/C(=O)C)C	CC(=O)/C=C/[C@H]1C(=CC[C@H](C1(C)C)C)C	True
3025-30-7	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCC/C=C\C=C\C(=O)OCC	CCCCC/C=C\C=C\C(=O)OCC	True
Isoeugenol	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C/C=C/C1=CC(=C(C=C1)O)OC	C/C=C/c1ccc(c(c1)OC)O	True
2,3-PENTANEDIONE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(=O)C(=O)C	CCC(=O)C(=O)C	True
Isojasmone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC/C=C/CC1=C(C(=O)CC1)C	CC1=C(C/C=C/CC)CCC1=O	True
cis-3-Hexenyl lactate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC/C=C\CCOC(=O)C(C)O	CC/C=C\CCOC(=O)C(O)C	True
MYRCENE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=CCCC(=C)C=C)C	C=CC(=C)CCC=C(C)C	True
2-Methyl-4-phenyl-2-butanol	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)(CCC1=CC=CC=C1)O	CC(CCc1ccccc1)(O)C	True
Hexyl 2-furoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCOC(=O)C1=CC=CO1	CCCCCCOC(=O)c1ccco1	True
Massoia lactone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCC1CC=CC(=O)O1	CCCCCC1CC=CC(=O)O1	True
trans-2-Hexenyl propionate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC/C=C/COC(=O)CC	CCC/C=C/COC(=O)CC	True
2-Undecanone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCCCC(=O)C	CCCCCCCCCC(=O)C	True
Ionone, methyl-	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(=O)/C=C/C1C(=CCCC1(C)C)C	CCC(=O)/C=C/C1C(=CCCC1(C)C)C	True
trans-2-Pentenal	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC/C=C/C=O	CC/C=C/C=O	True
Citral	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=CCC/C(=C/C=O)/C)C	O=C/C=C(/CCC=C(C)C)\C	True
BETA-IONONE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1=C(C(CCC1)(C)C)/C=C/C(=O)C	CC(=O)/C=C/C1=C(C)CCCC1(C)C	True
Allyl heptanoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCC(=O)OCC=C	CCCCCCC(=O)OCC=C	True
2-Isopropyl-4-methylthiazole	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1=CSC(=N1)C(C)C	Cc1csc(n1)C(C)C	True
Isopentyl formate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)CCOC=O	O=COCCC(C)C	True
2,8-Epithio-p-menthane	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1CCC2CC1SC2(C)C	CC1CCC2CC1SC2(C)C	True
Benzyl tiglate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C/C=C(\C)/C(=O)OCC1=CC=CC=C1	C/C=C(/C(=O)OCc1ccccc1)\C	True
2,4-Dimethyl-2-pentenoic acid	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)/C=C(\C)/C(=O)O	CC(/C=C(/C(=O)O)\C)C	True
AC1O5FOL	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)CC(=O)OCC/C(=C/CC=C(C)C)/C	CC(CC(=O)OCC/C(=C/CC=C(C)C)/C)C	True
DELTA-DECALACTONE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCC1CCCC(=O)O1	CCCCCC1CCCC(=O)O1	True
Linalyl propionate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(=O)OC(C)(CCC=C(C)C)C=C	CCC(=O)OC(CCC=C(C)C)(C=C)C	True
alpha-Damascone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C/C=C/C(=O)C1C(=CCCC1(C)C)C	C/C=C/C(=O)C1C(=CCCC1(C)C)C	True
2-Benzylideneheptanal	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCC/C(=C/C1=CC=CC=C1)/C=O	CCCCC/C(=C/c1ccccc1)/C=O	True
Methoxystyryl isopropyl ketone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)C(=O)/C=C\C1=CC=C(C=C1)OC	COc1ccc(cc1)/C=C\C(=O)C(C)C	True
ETHYL LEVULINATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCOC(=O)CCC(=O)C	CCOC(=O)CCC(=O)C	True
2-Methylbutyl isovalerate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(C)COC(=O)CC(C)C	CCC(COC(=O)CC(C)C)C	True
2-Phenoxyethyl isobutyrate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)C(=O)OCCOC1=CC=CC=C1	CC(C(=O)OCCOc1ccccc1)C	True
6-Methylhepta-3,5-dien-2-one	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=C/C=C/C(=O)C)C	CC(=C/C=C/C(=O)C)C	True
Geranyl isovalerate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)CC(=O)OC/C=C(\C)/CCC=C(C)C	CC(CC(=O)OC/C=C(/CCC=C(C)C)\C)C	True
Geranyl phenylacetate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=CCC/C(=C/COC(=O)CC1=CC=CC=C1)/C)C	O=C(Cc1ccccc1)OC/C=C(/CCC=C(C)C)\C	True
3-Phenylpropan-1-ol	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C1=CC=C(C=C1)CCCO	OCCCc1ccccc1	True
ALLYL NONANOATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCCC(=O)OCC=C	CCCCCCCCC(=O)OCC=C	True
cis-5-Octen-1-ol	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC/C=C\CCCCO	OCCCC/C=C\CC	True
Cinnamyl propionate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(=O)OC/C=C/C1=CC=CC=C1	CCC(=O)OC/C=C/c1ccccc1	True
Citronellyl acetate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(CCC=C(C)C)CCOC(=O)C	CC(CCC=C(C)C)CCOC(=O)C	True
Isopentyl cinnamate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)CCOC(=O)/C=C/C1=CC=CC=C1	CC(CCOC(=O)/C=C/c1ccccc1)C	True
Ethyl (methylthio)acetate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCOC(=O)CSC	CSCC(=O)OCC	True
Citronellic acid	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(CCC=C(C)C)CC(=O)O	CC(CC(=O)O)CCC=C(C)C	True
S-Methyl 2-methylbutanethioate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(C)C(=O)SC	CCC(C(=O)SC)C	True
1-octanol	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCCO	CCCCCCCCO	True
HEPTYL OCTANOATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCC(=O)OCCCCCCC	CCCCCCCOC(=O)CCCCCCC	True
Ethyl 3-hydroxybutyrate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCOC(=O)CC(C)O	CCOC(=O)CC(O)C	True
2-Octen-4-one	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCC(=O)/C=C/C	CCCCC(=O)/C=C/C	True
Ethyl (E)-hept-4-enoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC/C=C/CCC(=O)OCC	CC/C=C/CCC(=O)OCC	True
acetone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=O)C	CC(=O)C	True
Ethyl 3-phenylglycidate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCOC(=O)C1C(O1)C2=CC=CC=C2	CCOC(=O)C1OC1c1ccccc1	True
4-(4-Hydroxyphenyl)-2-butanone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=O)CCC1=CC=C(C=C1)O	CC(=O)CCc1ccc(cc1)O	True
Ethyl (4-methylphenoxy)acetate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCOC(=O)COC1=CC=C(C=C1)C	CCOC(=O)COc1ccc(cc1)C	True
ETHYL 3-HEXENOATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC/C=C/CC(=O)OCC	CC/C=C/CC(=O)OCC	True
ISOPROPYL ACETATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)OC(=O)C	CC(OC(=O)C)C	True
(3E)-2-hydroxy-4,8-dimethylnona-3,7-dienal	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=CCC/C(=C/C(C=O)O)/C)C	O=CC(/C=C(/CCC=C(C)C)\C)O	True
Hexyl octanoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCC(=O)OCCCCCC	CCCCCCCC(=O)OCCCCCC	True
3-mercapto-1-hexanol	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCC(CCO)S	CCCC(CCO)S	True
Methyl 2-octynoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCC#CC(=O)OC	CCCCCC#CC(=O)OC	True
S-Allyl thiopropionate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(=O)SCC=C	CCC(=O)SCC=C	True
Hexyl 2-methylbutanoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCOC(=O)C(C)CC	CCCCCCOC(=O)C(CC)C	True
Isobutyl benzoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)COC(=O)C1=CC=CC=C1	CC(COC(=O)c1ccccc1)C	True
4-Vinylphenol	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C=CC1=CC=C(C=C1)O	C=Cc1ccc(cc1)O	True
Methyl isovalerate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)CC(=O)OC	COC(=O)CC(C)C	True
ETHYL HEPTANOATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCC(=O)OCC	CCCCCCC(=O)OCC	True
Tetrahydrofurfuryl propionate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(=O)OCC1CCCO1	CCC(=O)OCC1CCCO1	True
Heptyl formate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCOC=O	CCCCCCCOC=O	True
ETHYL UNDECANOATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCCCCC(=O)OCC	CCCCCCCCCCC(=O)OCC	True
cis-3-Hexenyl butyrate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCC(=O)OCC/C=C\CC	CC/C=C\CCOC(=O)CCC	True
3-Octanone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCC(=O)CC	CCCCCC(=O)CC	True
Vanillylacetone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=O)CCC1=CC(=C(C=C1)O)OC	COc1cc(CCC(=O)C)ccc1O	True
Hept-3-enyl isobutyrate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC/C=C/CCOC(=O)C(C)C	CCC/C=C/CCOC(=O)C(C)C	True
gamma-Decalactone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCC1CCC(=O)O1	CCCCCCC1CCC(=O)O1	True
Crotonic acid, isobutyl ester	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C/C=C\C(=O)OCC(C)C	C/C=C\C(=O)OCC(C)C	True
6-methyl-2-(oxiran-2-yl)hept-5-en-2-ol	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=CCCC(C)(C1CO1)O)C	CC(=CCCC(C1CO1)(O)C)C	True
Bisabolene	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1=CC/C(=C(/C)\CCC=C(C)C)/CC1	CC(=CCC/C(=C\1/CCC(=CC1)C)/C)C	True
Citronellyl formate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(CCC=C(C)C)CCOC=O	O=COCCC(CCC=C(C)C)C	True
DIETHYL SUCCINATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCOC(=O)CCC(=O)OCC	CCOC(=O)CCC(=O)OCC	True
Safranal	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1=C(C(CC=C1)(C)C)C=O	O=CC1=C(C)C=CCC1(C)C	True
Methyl 2-methylbutyrate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(C)C(=O)OC	CCC(C(=O)OC)C	True
13679-70-4	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1=CC=C(S1)C=O	Cc1ccc(s1)C=O	True
2-Phenylpropionaldehyde dimethyl acetal	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C1=CC=CC=C1)C(OC)OC	COC(C(c1ccccc1)C)OC	True
2-Methylbutyraldehyde	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(C)C=O	CC(C=O)CC	True
DELTA-NONALACTONE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCC1CCCC(=O)O1	CCCCC1CCCC(=O)O1	True
Benzalacetone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=O)/C=C/C1=CC=CC=C1	CC(=O)/C=C/c1ccccc1	True
Lactone of cis-jasmone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC/C=C/CCC1(CCC(=O)O1)C	CC/C=C/CCC1(C)CCC(=O)O1	True
GERANYL ACETATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=CCC/C(=C/COC(=O)C)/C)C	C/C(=C\COC(=O)C)/CCC=C(C)C	True
4-Methyl-2-pentanone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)CC(=O)C	CC(CC(=O)C)C	True
beta-Ionol	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1=C(C(CCC1)(C)C)/C=C/C(C)O	CC(/C=C/C1=C(C)CCCC1(C)C)O	True
Damascenone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C/C=C/C(=O)C1=C(C=CCC1(C)C)C	C/C=C/C(=O)C1=C(C)C=CCC1(C)C	True
cis-3-Hexenyl anthranilate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC/C=C\CCOC(=O)C1=CC=CC=C1N	CC/C=C\CCOC(=O)c1ccccc1N	True
3-Mercaptohexyl acetate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCC(CCOC(=O)C)S	CCCC(CCOC(=O)C)S	True
ETHYL ISOBUTYRATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCOC(=O)C(C)C	CCOC(=O)C(C)C	True
cis-Carvyl acetate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1=CC[C@H](C[C@H]1OC(=O)C)C(=C)C	CC(=O)O[C@@H]1C[C@@H](CC=C1C)C(=C)C	True
1-Pentanol	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCO	CCCCCO	True
ETHYL LAURATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCCCCCC(=O)OCC	CCCCCCCCCCCC(=O)OCC	True
3549-23-3	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)(C)C1=CC=C(C=C1)CC(=O)OC	COC(=O)Cc1ccc(cc1)C(C)(C)C	True
ethyl trans-2-octenoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCC/C=C/C(=O)OCC	CCCCC/C=C/C(=O)OCC	True
Methyl 2-nonenoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCC/C=C\C(=O)OC	CCCCCC/C=C\C(=O)OC	True
Methyl jasmonate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)OC	CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)OC	True
2,3-HEXANEDIONE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCC(=O)C(=O)C	CCCC(=O)C(=O)C	True
propionic acid	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(=O)O	CCC(=O)O	True
(+)-alpha-Terpineol	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1=CC[C@@H](CC1)C(C)(C)O	CC1=CC[C@@H](CC1)C(O)(C)C	True
1-Octen-3-yl acetate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCC(C=C)OC(=O)C	CCCCCC(OC(=O)C)C=C	True
gamma-Dodecalactone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCCC1CCC(=O)O1	CCCCCCCCC1CCC(=O)O1	True
CYCLOHEXANECARBOXYLIC ACID	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C1CCC(CC1)C(=O)O	OC(=O)C1CCCCC1	True
4-Methyl-2-pentene-1-al	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)/C=C\C=O	O=C/C=C\C(C)C	True
GERANIC ACID	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=CCC/C(=C/C(=O)O)/C)C	CC(=CCC/C(=C/C(=O)O)/C)C	True
p-Mentha-8-thiol-3-one	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1CCC(C(=O)C1)C(C)(C)S	CC1CCC(C(=O)C1)C(S)(C)C	True
Methyl 2-undecynoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCCC#CC(=O)OC	CCCCCCCCC#CC(=O)OC	True
5-Methylhexane-2,3-dione	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)CC(=O)C(=O)C	CC(CC(=O)C(=O)C)C	True
2-TRIDECENAL	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCCCC/C=C/C=O	CCCCCCCCCC/C=C/C=O	True
3-(Methylthio)hexyl acetate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCC(CCOC(=O)C)SC	CCCC(CCOC(=O)C)SC	True
53398-85-9	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC/C=C\CCOC(=O)C(C)CC	CC/C=C\CCOC(=O)C(CC)C	True
Benzaldehyde dimethyl acetal	Sweet	Fenaroli’s Handbook of Flavor Ingredient	COC(C1=CC=CC=C1)OC	COC(c1ccccc1)OC	True
Isopentyl hexanoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCC(=O)OCCC(C)C	CCCCCC(=O)OCCC(C)C	True
Pyruvic acid	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(=O)C(=O)O	OC(=O)C(=O)C	True
Benzyl formate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C1=CC=C(C=C1)COC=O	O=COCc1ccccc1	True
Isobutyl cinnamate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)COC(=O)/C=C/C1=CC=CC=C1	CC(COC(=O)/C=C/c1ccccc1)C	True
BENZYL BENZOATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2	O=C(c1ccccc1)OCc1ccccc1	True
1-Hexanol	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCO	CCCCCCO	True
CYCLOHEXYL FORMATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C1CCC(CC1)OC=O	O=COC1CCCCC1	True
BENZYL CINNAMATE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=CC=C2	O=C(/C=C/c1ccccc1)OCc1ccccc1	True
2-Isopropyl-5-methyl-2-hexenal	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)C/C=C(/C=O)\C(C)C	O=C/C(=C/CC(C)C)/C(C)C	True
2-HEPTANONE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCC(=O)C	CCCCCC(=O)C	True
Ethyl 3-methylpentanoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(C)CC(=O)OCC	CCOC(=O)CC(CC)C	True
HYDROGEN ORNITHINE CHLORIDE	Sweet	Fenaroli’s Handbook of Flavor Ingredient	[H+].C(CC(C(=O)O)N)CN.[Cl-]	NC(C(=O)O)CCCN.[Cl-].[H+]	True
trans-2-Hexenal	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC/C=C/C=O	CCC/C=C/C=O	True
Isopulegol acetate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)C)C(=C)C	C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)C)C(=C)C	True
4-Methoxycinnamaldehyde	Sweet	Fenaroli’s Handbook of Flavor Ingredient	COC1=CC=C(C=C1)/C=C/C=O	COc1ccc(cc1)/C=C/C=O	True
Methyl cinnamate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	COC(=O)/C=C/C1=CC=CC=C1	COC(=O)/C=C/c1ccccc1	True
TETRADECANAL	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCCCCCCCC=O	CCCCCCCCCCCCCC=O	True
1-Phenylethyl propionate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(=O)OC(C)C1=CC=CC=C1	CCC(=O)OC(c1ccccc1)C	True
2-Pentyl butyrate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCC(C)OC(=O)CCC	CCCC(OC(=O)CCC)C	True
AC1OCVZS	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C[C@H](COC(=O)C(C)C)C1=CC=CC=C1	C[C@@H](c1ccccc1)COC(=O)C(C)C	True
Ethyl 2-methylbutyrate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(C)C(=O)OCC	CCOC(=O)C(CC)C	True
formic acid	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C(=O)O	OC=O	True
Cyclohexyl butyrate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCC(=O)OC1CCCCC1	CCCC(=O)OC1CCCCC1	True
Butyl hexanoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCC(=O)OCCCC	CCCCCC(=O)OCCCC	True
1-Phenyl-2-pentanol	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCC(CC1=CC=CC=C1)O	CCCC(Cc1ccccc1)O	True
2-ETHYLBUTYRIC ACID	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC(CC)C(=O)O	CCC(C(=O)O)CC	True
Tiglic aldehyde	Sweet	Fenaroli’s Handbook of Flavor Ingredient	C/C=C(\C)/C=O	C/C=C(/C=O)\C	True
Dihydro-alpha-ionone	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC1=CCCC(C1CCC(=O)C)(C)C	CC(=O)CCC1C(=CCCC1(C)C)C	True
2-NONANOL	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCC(C)O	CCCCCCCC(O)C	True
2-Methylpentanal	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCC(C)C=O	CC(C=O)CCC	True
(Z)-Hex-2-enyl acetate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCC/C=C\COC(=O)C	CCC/C=C\COC(=O)C	True
Furfuryl octanoate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCC(=O)OCC1=CC=CO1	CCCCCCCC(=O)OCc1ccco1	True
Isobutyl 2-furanpropionate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)COC(=O)CCC1=CC=CO1	CC(COC(=O)CCc1ccco1)C	True
Dmpec isobutyrate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CC(C)C(=O)OC(C)(C)CCC1=CC=CC=C1	CC(C(=O)OC(CCc1ccccc1)(C)C)C	True
Decyl butyrate	Sweet	Fenaroli’s Handbook of Flavor Ingredient	CCCCCCCCCCOC(=O)CCC	CCCCCCCCCCOC(=O)CCC	True
