name	orig_taste	reference	smiles	can-smiles	taste	orig_idx	EA(eV)	IP(eV)	CNS	dip^2/V	CIQPlogS	RuleOfThree	RuleOfFive	PSA	HumanOralAbsorption	PercentHumanOralAbsorption	SAfluorine	SAamideO	#stars	#amine	#amidine	#acid	#amide	#rotor	#rtvFG	#metab	#NandO	#ringatoms	#in34	#in56	#noncon	#nonHatm	QPpolrz	QPlogPC16	QPlogPoct	QPlogPw	QPlogPo/w	QPlogS	QPlogHERG	QPPCaco	QPlogBB	QPPMDCK	QPlogKp	QPlogKhsa	dipole	SASA	FOSA	FISA	PISA	WPSA	volume	donorHB	accptHB	ACxDN^.5/SA	glob	MW	AlogP	RB	PSA	Estate	MR	Polar	Num aromatic rings	RingCount	ChiralCenterCount	HeavyAtomCount	Total charge
Ribose	Sweet	Rojas et al. (2017)	OC(C(O)CO)C(O)C=O	OCC(C(C(C=O)O)O)O	True	270	-0.205	10.68	-2.0	0.03560719999999999	-0.23399999999999999	0.0	0.0	97.99	2.0	47.503	0.0	0.0	2.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	10.0	9.777000000000001	5.525	11.814	12.462	-1.8530000000000002	-0.057	-2.803	56.857	-1.774	22.305999999999997	-5.107	-1.122	4.329	342.18	105.85	236.33	0.0	0.0	526.4259999999999	3.0	7.8	0.0394821	0.9214428	150.1299	-2.2799	4	97.99	38.499	31.3831	12.583	0	0	3	10	0
Rubusoside	Sweet	Rojas et al. (2017)	O1C(CO)C(O)C(O)C(O)C1OC(=O)[C@@]1([C@@H]2CC[C@]34[C@@H](CC[C@@](O[C@@H]5OC(CO)C(O)C(O)C5O)(C3)C(C4)=C)[C@@]2(CCC1)C)C	OCC1OC(OC(=O)[C@@]2(C)CCC[C@@]3([C@H]2CC[C@@]24[C@H]3CC[C@@](C4)(C(=C)C2)O[C@@H]2OC(CO)C(C(C2O)O)O)C)C(C(C1O)O)O	True	285	1.2	8.555	-2.0	0.0355925	-4.105	2.0	3.0	215.83	1.0	8.331	0.0	0.0	4.0	0.0	0.0	0.0	0.0	14.0	2.0	9.0	13.0	28.0	0.0	28.0	25.0	45.0	52.472	17.369	40.867	31.721999999999998	-0.505	-2.34	-3.6039999999999996	19.823	-2.75	7.142	-5.3660000000000005	-0.7440000000000001	7.746	781.618	481.73199999999997	284.586	15.299000000000001	0.0	1685.898	8.0	19.75	0.071469	0.876445	642.7316	0.018000000000000002	7	215.83	116.83	153.7354	62.388000000000005	0	6	15	45	0
Selligueain A	Sweet	Rojas et al. (2017)	O1c2c(CC(O)C1c1ccc(O)cc1)c(O)cc(O)c2C1c2c(OC(C1O)c1ccc(O)cc1)c1[C@@H]3c4c(O[C@@](Oc1cc2O)([C@H]3O)c1ccc(O)cc1)cc(O)cc4O	Oc1ccc(cc1)C1Oc2c(C(C1O)c1c(O)cc(c3c1OC(C(C3)O)c1ccc(cc1)O)O)c(O)cc1c2[C@@H]2c3c(O)cc(cc3O[C@@](O1)([C@H]2O)c1ccc(cc1)O)O	True	2590	0.18	7.497999999999999	-2.0	0.0125512	-11.37	3.0	3.0	262.28	1.0	3.2030000000000003	0.0	0.0	14.0	0.0	0.0	0.0	0.0	11.0	1.0	17.0	15.0	49.0	0.0	49.0	9.0	60.0	76.763	27.333000000000002	51.565	36.419000000000004	2.6210000000000004	-7.117000000000001	-8.126	0.973	-5.071000000000001	0.275	-6.335	0.41	5.157	1059.587	92.74600000000001	422.62300000000005	544.2180000000001	0.0	2118.5	11.0	14.1	0.0441346	0.7528598000000001	815.7504	5.1471	4	262.28	160.421	206.1889	100.542	6	10	7	60	-1
Sorbose	Sweet	Rojas et al. (2017)	OC(C(O)C(=O)CO)C(O)CO	OCC(C(C(C(=O)CO)O)O)O	True	2185	-0.591	10.360999999999999	-2.0	0.053352199999999995	-0.256	0.0	0.0	118.22	2.0	44.717	0.0	0.0	2.0	0.0	0.0	0.0	0.0	10.0	1.0	5.0	6.0	0.0	0.0	0.0	0.0	12.0	11.405	6.645	14.992	15.295	-2.053	-0.16	-2.733	46.199	-1.952	17.823	-5.09	-1.128	5.654	371.289	125.45299999999999	245.83599999999998	0.0	0.0	599.192	4.0	9.5	0.0511731	0.9257579	180.1559	-3.0134	5	118.22	45.666000000000004	37.5618	15.055	0	0	3	12	0
trans-anethole	Sweet	Rojas et al. (2017)	O(C)c1ccc(cc1)\C=C\C	C/C=C/c1ccc(cc1)OC	True	707	0.053	8.637	1.0	0.0029	-3.583	0.0	0.0	9.23	3.0	100.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	6.0	0.0	6.0	0.0	11.0	18.858	5.12	5.638	2.129	3.1660000000000004	-2.935	-4.0280000000000005	9906.038	0.28600000000000003	5899.293000000001	-0.72	0.12	1.3359999999999999	390.495	218.104	0.0	172.391	0.0	615.9259999999999	0.0	0.75	0.0	0.8965380999999999	148.2017	2.7676	2	9.23	22.834	47.881	21.483	1	1	0	11	0
Xylobiose	Sweet	Rojas et al. (2017)	O1CC(O)C(O)C(O)C1OC1COC(O)C(O)C1O	OC1COC(C(C1O)O)OC1COC(C(C1O)O)O	True	412	-1.913	10.454	-2.0	0.0114495	-0.064	0.0	1.0	149.07	2.0	28.011	0.0	0.0	2.0	0.0	0.0	0.0	0.0	8.0	2.0	5.0	9.0	12.0	0.0	12.0	10.0	19.0	20.959	8.971	23.839000000000002	24.576999999999998	-2.79	-1.36	-3.096	49.7	-1.9	19.287	-5.221	-1.077	3.0380000000000003	463.592	221.101	242.49099999999999	0.0	0.0	805.842	6.0	15.3	0.0808408	0.9033629000000001	282.2445	-3.2389	2	149.07	60.163999999999994	56.4117	23.309	0	2	8	19	0
	Bitter	Rodgers et al. (2006)	C[C@@H](CN1c2c(Sc3c1cccc3)cccc2)N(C)C	CN([C@H](CN1c2ccccc2Sc2c1cccc2)C)C	False	1149	0.292	7.6339999999999995	2.0	0.0068175	-3.7439999999999998	0.0	0.0	32.98	3.0	100.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	3.0	0.0	6.0	2.0	14.0	0.0	14.0	0.0	20.0	32.465	9.357000000000001	11.749	4.791	4.81	-4.106	-5.694	2199.806	0.8220000000000001	2014.68	-2.3890000000000002	0.5660000000000001	2.5380000000000003	534.408	208.59400000000002	5.316	284.737	35.760999999999996	945.19	0.0	2.5	0.0	0.8715755	285.427	2.8299	3	32.98	37.001	86.4063	41.111999999999995	2	3	1	20	1
	Bitter	Rodgers et al. (2006)	O1[C@@H](CC(c2c1cc(cc2O)O[C@@H]1O[C@H](CO[C@H]2[C@H](O)[C@@H](O)[C@@H]([C@H](O2)C)O)[C@@H]([C@H]([C@@H]1O)O)O)=O)c1ccc(OC)c(c1)O	COc1ccc(cc1O)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](C)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O	False	2497	0.275	9.064	-2.0	0.0100716	-4.33	2.0	3.0	234.29	1.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	14.0	2.0	11.0	15.0	28.0	0.0	28.0	12.0	43.0	54.882	19.771	40.111999999999995	32.469	-1.197	-3.779	-6.289	3.19	-4.5889999999999995	0.992	-6.379	-1.157	4.15	916.2919999999999	382.444	368.24199999999996	165.605	0.0	1710.2420000000002	7.0	20.05	0.0578934	0.7548071999999999	610.5606	-0.4818	7	234.29	120.999	140.1928	62.663999999999994	2	5	11	43	0
	Bitter	Rodgers et al. (2006)	C[N@@]1CCC[C@H]1c1cnccc1	CN1CCC[C@H]1c1cccnc1	False	1924	0.015	9.317	2.0	0.010460500000000001	-0.247	0.0	0.0	17.33	3.0	89.455	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	11.0	0.0	11.0	4.0	12.0	21.158	5.607	8.238999999999999	5.322	1.186	0.76	-4.402	1271.815	0.7170000000000001	709.7410000000001	-3.6289999999999996	-0.43799999999999994	2.603	397.63800000000003	221.49400000000003	30.41	145.734	0.0	647.681	0.0	3.5	0.0	0.9104393	163.2395	-0.318	1	17.33	22.166999999999998	47.5562	22.584	1	2	2	12	1
	Bitter	Rodgers et al. (2006)	C[C@]12[C@H]3[C@@]4([C@@H](C[C@H]1OC(C[C@H]2C(=C(C3=O)OC)C)=O)[C@@H](C=C(C4=O)OC)C)C	COC1=C[C@@H](C)[C@H]2[C@@](C1=O)(C)[C@H]1C(=O)C(=C([C@H]3[C@@]1([C@@H](C2)OC(=O)C3)C)C)OC	False	790	0.5579999999999999	9.981	-1.0	0.0325712	-3.8160000000000003	1.0	0.0	78.9	3.0	93.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	7.0	6.0	17.0	0.0	17.0	9.0	28.0	38.31	9.789	17.439	9.898	1.926	-2.549	-3.2889999999999997	1168.6789999999999	-0.365	585.491	-3.043	-0.44	6.086	586.177	463.167	97.881	25.129	0.0	1137.134	0.0	8.5	0.0	0.8988303	388.4541	1.3114	2	78.9	67.667	104.20299999999999	39.833	0	4	7	28	0
	Bitter	Rodgers et al. (2006)	O=c1ccc2cc3ccoc3c(c2o1)OC	COc1c2oc(=O)ccc2cc2c1occ2	False	2	1.109	9.09	0.0	0.0971069	-2.7039999999999997	0.0	0.0	52.58	3.0	95.302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	4.0	13.0	0.0	13.0	0.0	16.0	21.855	6.782	10.157	6.25	1.5490000000000002	-1.61	-3.905	2053.055	-0.06	1076.51	-1.9169999999999998	-0.514	8.002	396.809	87.61200000000001	72.07600000000001	237.12099999999998	0.0	659.341	0.0	3.75	0.0	0.9232601	216.1895	2.0712	1	52.58	39.501999999999995	52.9056	26.767	3	3	0	16	0
	Bitter	Rodgers et al. (2006)	O=C(O)[C@@H](N)Cc1c[nH]cn1	N[C@H](C(=O)O)Cc1c[nH]cn1	False	1446	-0.873	9.406	-1.0	0.0787629	-0.057999999999999996	1.0	0.0	96.45	2.0	27.811	0.0	0.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	4.0	5.0	5.0	0.0	5.0	0.0	11.0	13.84	6.332000000000001	13.870999999999999	12.448	-2.675	-0.251	-2.1430000000000002	8.382	-0.823	3.963	-6.502999999999999	-0.971	6.528	347.72	54.99	197.517	95.213	0.0	541.068	4.0	5.0	0.028758799999999998	0.9234995	155.1546	-3.2753	3	96.45	34.667	34.1856	16.512	1	1	1	11	0
	Bitter	Rodgers et al. (2006)	c1cocc1[C@H]1OC([C@@H]2C[C@@H]3OC([C@@]4([C@]3([C@@H](CC[C@@H]4O[C@@H]3O[C@H]([C@H]([C@H]([C@@H]3O)O)O)CO)[C@@]2(C1)C)C)O)=O)=O	OC[C@@H]1O[C@@H](O[C@H]2CC[C@@H]3[C@@]4([C@@]2(O)C(=O)O[C@H]4C[C@@H]2[C@@]3(C)C[C@H](OC2=O)c2ccoc2)C)[C@H]([C@@H]([C@@H]1O)O)O	False	1320	-0.17	9.52	-2.0	0.0835342	-3.681	1.0	2.0	185.35	2.0	22.414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	8.0	12.0	27.0	0.0	27.0	17.0	38.0	44.943999999999996	14.8	33.436	26.721999999999998	-0.852	-2.3209999999999997	-3.912	29.753	-2.164	11.077	-5.225	-0.804	10.722000000000001	673.194	285.547	265.988	121.65899999999999	0.0	1376.136	5.0	17.45	0.0579616	0.8887895	538.5409999999999	-0.9869	4	185.35	101.081	121.2428	51.81100000000001	1	6	13	38	0
	Bitter	Rodgers et al. (2006)	c12c(C(C[C@@H](O1)c1ccc(cc1)O)=O)c(cc(c2)O[C@H]1[C@H](O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)O)O)[C@H]([C@@H]([C@H](O1)CO)O)O)O	OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)O[C@H](CC3=O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O	False	2264	0.389	9.21	-2.0	0.0127773	-4.067	2.0	3.0	225.06	1.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	13.0	2.0	10.0	14.0	28.0	0.0	28.0	12.0	41.0	49.407	17.935	38.036	31.605	-1.558	-2.812	-5.443	3.5410000000000004	-3.96	1.11	-6.412999999999999	-1.122	4.463	807.903	286.431	363.466	158.005	0.0	1559.194	7.0	19.3	0.0632044	0.8048955	580.5346	-0.4654	6	225.06	115.83200000000001	133.7296	60.192	2	5	11	41	0
	Bitter	Rodgers et al. (2006)	O=C1NC(=O)NC(=O)C1(CC)CC	CCC1(CC)C(=O)NC(=O)NC1=O	False	1686	0.541	10.91	-1.0	0.0008944	-1.766	0.0	0.0	75.27	3.0	78.79	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	6.0	0.0	6.0	1.0	13.0	16.189	6.0329999999999995	9.922	7.912000000000001	0.637	-1.37	-1.676	487.716	-0.493	227.665	-3.8689999999999998	-0.478	0.727	343.409	205.507	137.903	0.0	0.0	590.383	2.0	4.0	0.0164726	0.9910800999999999	184.1925	0.7447	2	75.27	39.251	44.2523	17.64	0	1	0	13	0
	Bitter	Rodgers et al. (2006)	n1(c2c(nc3c1nc([nH]c3=O)=O)cc(c(c2)C)C)C[C@H]([C@H]([C@H](CO)O)O)O	OC[C@@H]([C@@H]([C@@H](Cn1c2cc(C)c(cc2nc2c1nc(=O)[nH]c2=O)C)O)O)O	False	1319	1.7169999999999999	9.217	-2.0	0.075405	-2.963	1.0	0.0	161.56	2.0	40.048	0.0	0.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	6.0	10.0	14.0	0.0	14.0	0.0	27.0	33.662	12.432	26.308000000000003	21.281	-1.02	-2.7239999999999998	-4.825	11.632	-3.0669999999999997	4.013999999999999	-6.108	-0.8540000000000001	9.202	639.705	262.026	309.002	68.678	0.0	1122.914	5.0	12.3	0.042994199999999996	0.8167382	376.3639	0.9794	5	161.56	76.835	94.681	41.933	3	3	3	27	0
	Bitter	Rodgers et al. (2006)	c12[C@@H]3[N@](C[C@H]([C@H](C3)C[C@H]3c4c(cc(c(c4)OC)OC)CCN3)CC)CCc1cc(c(c2)OC)OC	CC[C@@H]1CN2CCc3c([C@H]2C[C@@H]1C[C@@H]1NCCc2c1cc(OC)c(c2)OC)cc(c(c3)OC)OC	False	1470	-0.125	8.511000000000001	2.0	0.0053125	-5.086	1.0	0.0	57.97	3.0	100.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0	0.0	8.0	6.0	24.0	0.0	24.0	10.0	35.0	50.842	13.276	21.21	8.683	4.941	-4.629	-6.474	335.236	0.654	185.81	-5.202000000000001	1.159	2.839	790.1260000000001	681.445	27.875999999999998	80.805	0.0	1517.215	1.0	6.5	0.0082265	0.8081651	482.6548	2.1541	7	57.97	66.335	135.9509	61.519	2	5	5	35	2
	Bitter	Rodgers et al. (2006)	C1[C@@]2([C@@H]3[C@H](C[C@H]2[C@H]2[C@H](C1)[C@@]1(C(=CC2)C[C@@H](CC1)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O[C@H]1[C@H](O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](C2)C)O)O)O)[C@@H]([C@H]([C@@H](O1)C)O)O)CO)C)[N@@]1[C@@H]([C@H]3C)CC[C@@H](C1)C)C	OC[C@H]1O[C@@H](O[C@@H]2CC[C@]3(C(=CC[C@@H]4[C@@H]3CC[C@]3([C@H]4C[C@H]4[C@@H]3[C@H](C)[C@@H]3N4C[C@H](CC3)C)C)C2)C)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O[C@@H]1C[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O)O)O	False	1625	-1.271	8.961	-2.0	0.0106953	-5.3389999999999995	2.0	3.0	212.43	1.0	4.8660000000000005	0.0	0.0	14.0	1.0	0.0	0.0	0.0	15.0	2.0	11.0	14.0	42.0	0.0	42.0	37.0	60.0	84.524	25.843000000000004	53.70399999999999	37.0	1.33	-5.558	-6.774	3.1860000000000004	-3.803	1.095	-7.704	-0.272	5.1739999999999995	1228.976	909.0139999999999	304.70599999999996	15.257	0.0	2502.837	8.0	24.1	0.055465	0.7253986	851.0945	0.7923	7	212.43	135.326	216.3604	88.045	0	9	27	60	1
	Bitter	Rodgers et al. (2006)	O1[C@@H]2[C@@H]3[C@H](C(C[C@@H]([C@H]2C(C1=O)=C)OC(C(CO)=C)=O)=C)C[C@@H](C3=C)O	OCC(=C)C(=O)O[C@H]1CC(=C)[C@H]2[C@@H]([C@@H]3[C@@H]1C(=C)C(=O)O3)C(=C)[C@H](C2)O	False	82	0.374	10.125	-2.0	0.026714299999999996	-3.3960000000000004	0.0	0.0	93.06	3.0	77.314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	6.0	6.0	13.0	0.0	10.0	8.0	25.0	34.216	10.635	17.102	10.62	1.818	-3.3710000000000004	-4.281000000000001	165.78900000000002	-1.4709999999999999	70.922	-3.991	-0.127	5.365	588.351	286.172	187.31900000000002	114.86	0.0	1077.606	1.0	7.4	0.0125775	0.8639764000000001	346.3744	1.3812	4	93.06	67.5	88.9876	35.269	0	3	6	25	0
	Bitter	Rodgers et al. (2006)	C1[C@H]([C@H]([C@@H]([C@@](O1)(CO)O)O)O)O	OC[C@]1(O)OC[C@H]([C@H]([C@@H]1O)O)O	False	2145	-2.165	10.716	-2.0	0.0399798	-0.583	0.0	0.0	110.38	2.0	51.945	0.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	1.0	4.0	6.0	6.0	0.0	6.0	5.0	12.0	11.802	6.3389999999999995	15.770999999999999	16.165	-1.745	-0.784	-2.327	92.839	-1.375	37.896	-4.885	-0.826	4.668	339.33099999999996	125.456	213.87400000000002	0.0	0.0	544.946	5.0	8.3	0.054694000000000007	0.9508469	180.1559	-2.5636	1	110.38	41.748999999999995	36.3608	14.832	0	1	4	12	0
	Bitter	Rodgers et al. (2006)	c1(ccc2c(c1C[C@H]1C(O1)(C)C)oc(cc2)=O)OC	COc1ccc2c(c1C[C@@H]1OC1(C)C)oc(=O)cc2	False	747	0.8240000000000001	9.186	0.0	0.0674483	-2.635	0.0	0.0	51.97	3.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	4.0	13.0	3.0	10.0	2.0	19.0	28.052	7.8660000000000005	12.411	6.917000000000001	2.153	-2.437	-4.236000000000001	2682.2059999999997	-0.133	1437.141	-1.775	-0.40299999999999997	7.638	499.07199999999995	280.466	59.833999999999996	158.77200000000002	0.0	864.97	0.0	5.25	0.0	0.8797028	260.2851	2.5501	3	51.97	43.918	69.2621	31.739	2	3	1	19	0
	Bitter	Rodgers et al. (2006)	C1(=C(C([C@@H]([C@]1(O)[C@@H](CCC(C)C)O)CCC(C)C)=O)C([C@H](CC)C)=O)O	CC[C@@H](C(=O)C1=C(O)[C@@]([C@H](C1=O)CCC(C)C)(O)[C@@H](CCC(C)C)O)C	False	416	0.778	10.185	-2.0	0.0532385	-4.365	0.0	0.0	97.66	3.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	5.0	5.0	5.0	0.0	5.0	2.0	26.0	37.914	11.719000000000001	18.702	8.442	3.928	-4.791	-4.5889999999999995	705.0319999999999	-1.444	339.064	-2.494	0.37200000000000005	8.349	712.9630000000001	589.639	121.02600000000001	2.2969999999999997	0.0	1309.184	2.0	6.2	0.012298200000000002	0.8117681999999999	367.4996	3.0884	10	97.66	69.083	100.6577	39.676	0	1	4	26	-1
	Bitter	Rodgers et al. (2006)	C([C@H](N)C)(=O)O	C[C@H](C(=O)O)N	False	1511	-1.068	9.939	-1.0	0.034057300000000006	0.662	1.0	0.0	67.77	2.0	33.146	0.0	0.0	8.0	1.0	0.0	1.0	0.0	2.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	6.0	7.471	3.573	8.26	8.322000000000001	-2.9589999999999996	0.266	-1.215	20.629	-0.306	10.491	-6.27	-1.046	3.562	262.805	106.535	156.27	0.0	0.0	372.532	3.0	3.0	0.019771900000000002	0.9527386	89.0932	-2.3899	1	67.77	24.0	16.3968	7.99	0	0	1	6	0
	Bitter	Rodgers et al. (2006)	C1CC(N2[C@H](C1)[C@H]1C[C@@H](C2)[C@H]2[N@](C1)CC[C@@H](C2)O)=O	O[C@H]1CCN2[C@@H](C1)[C@H]1C[C@@H](C2)[C@@H]2N(C1)C(=O)CCC2	False	865	-1.556	8.877	1.0	0.0465936	-0.418	0.0	0.0	44.98	2.0	70.293	0.0	34.952	1.0	1.0	0.0	0.0	1.0	1.0	0.0	2.0	4.0	17.0	0.0	17.0	14.0	19.0	28.217	7.361000000000001	14.407	11.902000000000001	0.312	-0.444	-2.499	208.828	0.212	201.24200000000002	-5.031000000000001	-0.5920000000000001	6.385	491.44300000000004	407.631	83.81299999999999	0.0	0.0	874.8919999999999	1.0	6.7	0.0136333	0.9001764999999999	265.3712	-1.6276	0	44.98	38.499	70.9324	29.015	0	4	6	19	1
	Bitter	Rodgers et al. (2006)	c1(cc2c(c(c1)O)C(C[C@H](O2)c1ccc(cc1)O)=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO	OC[C@H]1O[C@@H](Oc2cc3O[C@@H](CC(=O)c3c(c2)O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O	False	1984	0.318	9.263	-2.0	0.0209855	-3.9139999999999997	2.0	1.0	166.14	2.0	30.454	0.0	0.0	1.0	0.0	0.0	0.0	0.0	9.0	1.0	8.0	10.0	22.0	0.0	22.0	7.0	31.0	40.022	14.732000000000001	28.147	22.695	-0.303	-3.423	-5.789	10.453	-3.2289999999999996	3.576	-5.657	-0.679	5.112	697.558	161.352	313.89599999999996	222.31099999999998	0.0	1245.1680000000001	5.0	12.5	0.0400695	0.8024226	434.3934	0.3933	4	166.14	88.167	102.8606	47.408	2	4	6	31	0
	Bitter	Rodgers et al. (2006)	C1CC(N2[C@H](C1)[C@H]1C[C@@H](C2)[C@H]2[N@](C1)CC[C@@H](C2)OC(=O)\C=C\c1ccccc1)=O	O=C(O[C@H]1CCN2[C@@H](C1)[C@H]1C[C@@H](C2)[C@@H]2N(C1)C(=O)CCC2)/C=C/c1ccccc1	False	156	0.741	8.911	1.0	0.011031200000000001	-2.987	0.0	0.0	51.05	3.0	85.83	0.0	34.885999999999996	0.0	1.0	0.0	0.0	1.0	4.0	1.0	1.0	5.0	23.0	0.0	23.0	14.0	29.0	45.157	12.41	18.604	12.104000000000001	2.872	-3.052	-5.122000000000001	224.07299999999998	-0.111	216.88400000000001	-3.895	0.006999999999999999	3.7760000000000002	713.735	408.93699999999995	80.641	224.15599999999998	0.0	1292.819	0.0	7.0	0.0	0.8041183000000001	395.5145	0.7769	4	51.05	60.333	110.5001	47.338	1	5	6	29	1
	Bitter	Rodgers et al. (2006)	c1(cncc2c1CCOC2=O)C=C	C=Cc1cncc2c1CCOC2=O	False	1265	0.925	9.863999999999999	0.0	0.0809072	-1.176	0.0	0.0	39.19	3.0	86.824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	3.0	10.0	0.0	10.0	2.0	13.0	18.430999999999997	5.615	9.054	6.267	0.5589999999999999	-0.6729999999999999	-3.178	1453.685	-0.16699999999999998	741.2439999999999	-2.602	-0.885	6.97	368.04400000000004	154.768	87.887	125.39	0.0	600.439	0.0	4.5	0.0	0.9352134	175.18400000000003	1.1612	1	39.19	32.168	48.4241	21.377	1	2	0	13	0
	Bitter	Rodgers et al. (2006)	O1[C@H]([C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O)Oc1ccccc1CO	OC[C@H]1O[C@@H](Oc2ccccc2CO)[C@@H]([C@H]([C@@H]1O)O)O	False	1762	-0.45	8.968	-2.0	0.0434849	-1.537	0.0	0.0	119.61	2.0	57.683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	5.0	7.0	12.0	0.0	12.0	5.0	20.0	24.723000000000003	10.065	21.76	19.452	-0.925	-1.466	-4.255	104.71799999999999	-1.7990000000000002	43.163000000000004	-3.995	-0.971	6.193	509.162	158.701	208.36	142.101	0.0	882.029	5.0	10.95	0.04808869999999999	0.8735698000000001	286.2778	-0.9463	4	119.61	57.998999999999995	66.9992	30.228	1	2	5	20	0
	Bitter	Rodgers et al. (2006)	c12n(C3CC3)cc(c(c1cc(c(c2OC)N1C[C@H](NCC1)C)F)=O)C(O)=O	COc1c(N2CCN[C@@H](C2)C)c(F)cc2c1n(cc(c2=O)C(=O)O)C1CC1	False	1429	0.861	8.691	0.0	0.07542339999999999	-3.6069999999999998	1.0	0.0	91.21	2.0	52.123999999999995	27.686	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	7.0	19.0	3.0	16.0	7.0	27.0	37.649	10.219	18.672	10.413	0.591	-4.178	-3.136	16.348	-0.624	11.569	-6.254	0.091	9.158999999999999	609.484	354.598	166.924	60.277	27.686	1112.222	1.0	6.75	0.0110749	0.8517861999999999	375.3941	0.4527	4	91.21	72.002	91.5772	41.782	2	4	1	27	0
	Bitter	Rodgers et al. (2006)	CC(Nc1ccc(O)cc1)=O	CC(=O)Nc1ccc(cc1)O	False	338	-0.057	8.6	0.0	0.027610400000000004	-1.469	0.0	0.0	49.33	3.0	82.402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	3.0	6.0	0.0	6.0	0.0	11.0	16.896	5.757000000000001	10.082	8.193	0.511	-1.074	-4.072	853.623	-0.498	416.92400000000004	-2.8139999999999996	-0.52	3.9619999999999997	372.204	94.51700000000001	112.26799999999999	165.42	0.0	568.5880000000001	2.0	3.25	0.012348600000000001	0.8917618	151.1626	0.6829999999999999	1	49.33	30.500999999999998	40.8343	19.442	1	1	0	11	0
	Bitter	Rodgers et al. (2006)	c12c(OC(CC1)=O)cc(c(c2)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O	OC[C@H]1O[C@@H](Oc2cc3CCC(=O)Oc3cc2O)[C@@H]([C@H]([C@@H]1O)O)O	False	836	0.013999999999999999	8.811	-2.0	0.039389099999999996	-2.023	2.0	0.0	145.91	2.0	41.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	7.0	9.0	16.0	0.0	16.0	7.0	24.0	28.695	10.970999999999998	24.175	21.353	-1.541	-1.972	-4.28	21.098000000000003	-2.508	7.638999999999999	-5.686	-0.978	6.218	560.8430000000001	205.97299999999998	281.732	73.138	0.0	981.69	5.0	12.5	0.0498372	0.8517396	342.298	-0.5162	3	145.91	71.0	76.2747	33.847	1	3	5	24	0
	Bitter	Rodgers et al. (2006)	OC[C@H](COC(CCCCCCCCC)=O)O	CCCCCCCCCC(=O)OC[C@@H](CO)O	False	2182	-0.74	11.128	-2.0	0.016532599999999998	-2.148	0.0	0.0	66.76	3.0	88.566	0.0	0.0	1.0	0.0	0.0	0.0	0.0	13.0	1.0	3.0	4.0	0.0	0.0	0.0	0.0	17.0	25.568	8.843	13.437999999999999	7.449	2.2319999999999998	-3.01	-4.526	516.219	-1.578	242.079	-2.765	-0.284	4.069	593.896	458.595	135.30200000000002	0.0	0.0	1001.2360000000001	2.0	5.4	0.012858700000000002	0.8149773	246.3431	2.8313	12	66.76	42.5	66.5015	26.625999999999998	0	0	1	17	0
