name	orig_taste	reference	smiles	can-smiles	In Bitter Domain	taste	orig_idx	EA(eV)	IP(eV)	CNS	dip^2/V	CIQPlogS	RuleOfThree	RuleOfFive	PSA	HumanOralAbsorption	PercentHumanOralAbsorption	SAfluorine	SAamideO	#stars	#amine	#amidine	#acid	#amide	#rotor	#rtvFG	#metab	#NandO	#ringatoms	#in34	#in56	#noncon	#nonHatm	QPpolrz	QPlogPC16	QPlogPoct	QPlogPw	QPlogPo/w	QPlogS	QPlogHERG	QPPCaco	QPlogBB	QPPMDCK	QPlogKp	QPlogKhsa	dipole	SASA	FOSA	FISA	PISA	WPSA	volume	donorHB	accptHB	ACxDN^.5/SA	glob	MW	AlogP	RB	PSA	Estate	MR	Polar	Num aromatic rings	RingCount	ChiralCenterCount	HeavyAtomCount	Total charge
Harpagoside	Bitter	Phyto-Dictionary	c1ccccc1\C=C\C(=O)O[C@@](C)(C[C@H]2O)[C@H]([C@]23O)[C@@H](OC=C3)O[C@H](O4)[C@H](O)[C@@H](O)[C@H](O)[C@H]4CO	OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@@]3([C@H]2[C@@](C)(OC(=O)/C=C/c2ccccc2)C[C@H]3O)O)[C@@H]([C@H]([C@@H]1O)O)O	1.0	True	0	0.7759999999999999	9.441	-2.0	0.0196925	-3.2880000000000003	0.0	2.0	175.37	2.0	24.578000000000003	0.0	0.0	1.0	0.0	0.0	0.0	0.0	13.0	3.0	6.0	11.0	21.0	0.0	21.0	11.0	35.0	45.84	17.034000000000002	33.471	27.499000000000002	-0.345	-3.06	-6.388	26.831	-3.1260000000000003	9.906	-4.208	-1.023	5.319	781.307	211.645	270.722	298.94	0.0	1436.454	6.0	16.35	0.0512592	0.7880213	494.4884	-2.0451	7	175.37	96.49799999999999	118.0009	50.478	1	4	10	35	0
Hernandulcin	Non-bitter	Phyto-Dictionary	CC(C)=CCC[C@](C)(O)[C@H](CC1)C(=O)C=C1C	CC(=CCC[C@@]([C@@H]1CCC(=CC1=O)C)(O)C)C	1.0	False	983	0.21	9.583	0.0	0.0424186	-3.446	1.0	0.0	37.3	3.0	100.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	7.0	2.0	6.0	0.0	6.0	3.0	17.0	28.075	7.537999999999999	9.88	2.365	4.105	-4.678999999999999	-4.125	2605.161	-0.298	1392.5729999999999	-2.004	0.621	6.2620000000000005	537.832	430.462	61.169	46.201	0.0	924.5010000000001	0.0	1.75	0.0	0.8533421	236.3499	3.3393	4	37.3	38.584	72.7535	27.864	0	1	2	17	0
Bryodulcosigenin	Non-bitter	Phyto-Dictionary	CC(C)(O)[C@H](O)CC[C@@H](C)[C@@H](CC1)[C@](C)([C@@]12C)CC(=O)[C@]3(C)[C@H]2CC=C4[C@H]3CC[C@H](O)C4(C)C	C[C@@H]([C@H]1CC[C@@]2([C@]1(C)CC(=O)[C@@]1([C@H]2CC=C2[C@H]1CC[C@@H](C2(C)C)O)C)C)CC[C@H](C(O)(C)C)O	1.0	False	809	-0.757	9.533999999999999	-2.0	0.0303086	-6.346	1.0	1.0	77.76	1.0	93.098	0.0	0.0	1.0	0.0	0.0	0.0	0.0	8.0	0.0	6.0	4.0	17.0	0.0	17.0	14.0	34.0	49.714	13.92	24.333000000000002	11.232000000000001	5.055	-6.513999999999999	-4.379	584.101	-1.18	276.663	-3.097	1.093	6.791	772.928	630.9590000000001	129.644	12.325999999999999	0.0	1521.42	3.0	6.15	0.0137815	0.8276728000000001	474.7156	4.7158	5	77.76	72.582	137.8501	54.533	0	4	9	34	0
Zapoterin	Bitter	Phyto-Dictionary	c1occc1[C@H](OC(=O)[C@H]([C@]234)O4)[C@]3(C)C[C@H](O)[C@H]5[C@@]2(C)C(=O)C[C@@H]6[C@]5(C)C=CC(=O)OC6(C)C	O=C1C=C[C@]2([C@H](C(O1)(C)C)CC(=O)[C@@]1([C@@H]2[C@@H](O)C[C@@]2([C@]31O[C@@H]3C(=O)O[C@H]2c1ccoc1)C)C)C	1.0	True	1328	0.7090000000000001	9.488	-1.0	0.0590526	-4.078	0.0	0.0	115.57	3.0	74.78399999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	4.0	8.0	25.0	3.0	17.0	12.0	34.0	43.985	12.258	23.973000000000003	16.491	0.9840000000000001	-2.655	-3.281	224.294	-0.833	98.325	-4.16	-0.396	8.549	599.198	295.086	173.477	130.635	0.0	1237.722	1.0	12.2	0.0203606	0.9304153000000001	470.5116	0.935	1	115.57	83.583	115.9075	48.52	1	6	9	34	0
Picrasin C	Bitter	Phyto-Dictionary	CC(=O)O[C@@H]1[C@@H](OC)[C@H](C)[C@@H]([C@@]2(C)[C@H]1[C@@]34C)CC(=O)O[C@@H]2C[C@H]4[C@H](C)C[C@@H](C3=O)O	CO[C@H]1[C@H](C)[C@@H]2CC(=O)O[C@H]3[C@@]2([C@H]([C@@H]1OC(=O)C)[C@]1(C)[C@@H](C3)[C@H](C)C[C@@H](C1=O)O)C	1.0	True	2492	-0.45799999999999996	10.347000000000001	-1.0	0.0183334	-3.7319999999999998	0.0	0.0	99.13	3.0	81.771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	7.0	17.0	0.0	17.0	14.0	30.0	41.285	11.058	21.000999999999998	13.32	1.645	-3.355	-3.264	334.98	-0.914	151.688	-4.09	-0.171	4.755	622.915	467.80800000000005	155.107	0.0	0.0	1233.525	1.0	10.4	0.0166957	0.8929657	422.5119	1.4441	3	99.13	73.498	106.4496	42.68899999999999	0	4	11	30	0
Obacunone	Bitter	Phyto-Dictionary	c1occc1[C@H](OC(=O)[C@H]([C@]234)O4)[C@]3(C)CC[C@H]5[C@@]2(C)C(=O)C[C@@H]6[C@]5(C)C=CC(=O)OC6(C)C	O=C1C=C[C@]2([C@H](C(O1)(C)C)CC(=O)[C@@]1([C@@H]2CC[C@@]2([C@]31O[C@@H]3C(=O)O[C@H]2c1ccoc1)C)C)C	1.0	True	44	0.565	9.516	-1.0	0.05555209999999999	-4.0969999999999995	0.0	0.0	95.34	3.0	81.27199999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	7.0	25.0	3.0	17.0	12.0	33.0	44.162	11.75	21.51	13.385	1.318	-2.002	-3.284	402.024	-0.5670000000000001	184.75400000000002	-3.762	-0.632	8.253	595.391	317.401	146.752	131.238	0.0	1225.9569999999999	0.0	10.5	0.0	0.9304205	454.5122	2.1044	1	95.34	77.75	114.3156	47.883	1	6	8	33	0
Nigakihemiacetal A	Bitter	Phyto-Dictionary	C[C@]12[C@@H]3[C@]4(C)[C@H]([C@](C)(O)[C@@H]([C@H]3O)OC)C[C@@H](O)O[C@@H]4C[C@H]2[C@H](C)C=C(C1=O)OC	COC1=C[C@@H](C)[C@H]2[C@@](C1=O)(C)[C@H]1[C@H](O)[C@@H](OC)[C@@]([C@H]3[C@@]1([C@@H](C2)O[C@@H](C3)O)C)(C)O	1.0	True	481	0.303	10.089	-1.0	0.0259253	-3.638	0.0	0.0	105.45	3.0	91.727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	4.0	7.0	17.0	0.0	17.0	13.0	29.0	38.298	10.866	22.585	15.444	1.7630000000000001	-3.3080000000000003	-3.3710000000000004	1103.448	-0.579	550.249	-2.8169999999999997	-0.18600000000000003	5.545	607.0319999999999	485.31300000000005	100.51100000000001	21.206999999999997	0.0	1185.896	3.0	10.3	0.029389099999999998	0.8925884	410.5012	-0.0468	2	105.45	70.248	106.4544	41.763999999999996	0	4	11	29	0
Neoquassin	Bitter	Phyto-Dictionary	C[C@]12[C@@H]3[C@]4(C)[C@H](C(C)=C(C3=O)OC)C[C@@H](O)O[C@@H]4C[C@H]2[C@H](C)C=C(C1=O)OC	COC1=C[C@@H](C)[C@H]2[C@@](C1=O)(C)[C@H]1C(=O)C(=C([C@H]3[C@@]1([C@@H](C2)O[C@@H](C3)O)C)C)OC	1.0	True	1787	0.19	9.696	-1.0	0.06326380000000001	-3.9619999999999997	0.0	0.0	82.06	3.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	6.0	6.0	17.0	0.0	17.0	10.0	28.0	38.083	9.908	19.277	11.394	2.311	-3.464	-3.435	1869.003	-0.262	972.587	-2.5610000000000004	-0.094	8.523	596.597	498.181	76.378	22.039	0.0	1148.24	1.0	8.9	0.0149179	0.8888715	390.47	0.9479	2	82.06	66.333	105.5887	40.384	0	4	8	28	0
Ichangin	Bitter	Phyto-Dictionary	C[C@]12C(=O)C[C@@H](C(C)(C)O)[C@]3([C@@H](O)CC(=O)OC3)[C@H]2CC[C@@]4(C)[C@@H](OC(=O)[C@H]([C@]145)O5)c6ccoc6	O=C1OC[C@]2([C@H](C1)O)[C@@H](CC(=O)[C@@]1([C@@H]2CC[C@@]2([C@]31O[C@@H]3C(=O)O[C@H]2c1cocc1)C)C)C(O)(C)C	1.0	True	2632	-0.131	9.592	-2.0	0.035655	-4.361000000000001	0.0	0.0	135.8	3.0	71.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	6.0	9.0	25.0	3.0	22.0	14.0	35.0	43.87	12.751	25.443	18.345	0.8240000000000001	-2.804	-3.4360000000000004	162.502	-1.105	69.403	-4.2669999999999995	-0.37200000000000005	6.726	616.997	305.628	188.236	123.133	0.0	1268.734	2.0	12.95	0.029682599999999996	0.9186061	488.5269	0.1767	2	135.8	88.083	116.3585	49.349	1	6	9	35	0
Glaucarubinone	Bitter	Phyto-Dictionary	[C@@]123[C@@H]4[C@@](O)(OC1)[C@H](O)[C@H](C)[C@@H]2[C@@H](OC(=O)[C@@](C)(O)CC)C(=O)O[C@@H]3C[C@@H]5[C@]4(C)[C@H](O)C(=O)C=C5C	CC[C@@](C(=O)O[C@H]1C(=O)O[C@H]2[C@]34[C@@H]1[C@@H](C)[C@@H](O)[C@@]([C@@H]4[C@@]1([C@@H](C2)C(=CC(=O)[C@H]1O)C)C)(OC3)O)(O)C	1.0	True	1056	0.688	10.474	-2.0	0.0170886	-4.436	0.0	0.0	159.82	3.0	68.653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	2.0	6.0	10.0	19.0	0.0	19.0	13.0	35.0	43.132	13.175	27.403000000000002	19.695999999999998	0.9420000000000001	-3.233	-3.533	105.212	-1.632	43.383	-4.585	-0.267	4.78	663.561	427.454	208.145	27.963	0.0	1337.16	4.0	12.65	0.0381276	0.8845858	494.5315	-0.1017	4	159.82	94.33200000000001	118.9544	47.303999999999995	0	5	12	35	0
Glaucarubin	Bitter	Phyto-Dictionary	[C@@]123[C@@H]4[C@@](O)(OC1)[C@H](O)[C@H](C)[C@@H]2[C@@H](OC(=O)[C@@](C)(O)CC)C(=O)O[C@@H]3C[C@@H]5[C@]4(C)[C@H](O)[C@@H](O)C=C5C	CC[C@@](C(=O)O[C@H]1C(=O)O[C@H]2[C@]34[C@@H]1[C@@H](C)[C@@H](O)[C@@]([C@@H]4[C@@]1([C@@H](C2)C(=C[C@@H]([C@H]1O)O)C)C)(OC3)O)(O)C	1.0	True	2756	-0.40700000000000003	9.842	-2.0	0.006548	-4.456	1.0	0.0	162.98	2.0	70.602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	7.0	10.0	19.0	0.0	19.0	14.0	35.0	43.151	13.47	28.426	20.627	1.053	-3.418	-3.804	124.32600000000001	-1.696	51.961000000000006	-4.354	-0.263	2.978	682.467	455.74199999999996	200.5	26.225	0.0	1354.098	5.0	12.35	0.0404642	0.8673287000000001	496.5473	-0.1352	4	162.98	92.99799999999999	119.7211	47.855	0	5	13	35	0
Eurycomalactone	Bitter	Phyto-Dictionary	C[C@@]12[C@H]3C(=O)O[C@H]([C@@H]3C)[C@H](O)[C@@H]2[C@]4(C)[C@@H](CC1=O)C(C)=CC(=O)[C@H]4O	O=C1C=C(C)[C@H]2[C@@]([C@@H]1O)(C)[C@H]1[C@@H](O)[C@@H]3OC(=O)[C@H]([C@@]1(C(=O)C2)C)[C@H]3C	1.0	True	2307	0.759	10.552999999999999	-2.0	0.028852	-2.583	0.0	0.0	100.9	3.0	68.314	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	6.0	6.0	16.0	0.0	16.0	10.0	25.0	32.402	9.583	19.642	15.145	0.098	-2.428	-3.128	190.22299999999998	-1.015	82.28399999999999	-4.564	-0.539	5.341	527.615	318.284	181.023	28.308000000000003	0.0	988.758	2.0	10.4	0.027875999999999998	0.9097205	348.3903	0.1498	0	100.9	66.499	87.7712	34.52	0	4	9	25	0
Chaparrolide	Bitter	Phyto-Dictionary	C[C@@]12[C@@H]3[C@]4(C)[C@H]([C@@H](C)[C@@H](C3=O)O)CC(=O)O[C@@H]4C[C@H]1[C@H](C)C[C@H](O)[C@H]2O	O=C1O[C@@H]2C[C@H]3[C@H](C)C[C@@H]([C@H]([C@@]3([C@@H]3[C@@]2([C@@H](C1)[C@@H](C)[C@@H](C3=O)O)C)C)O)O	1.0	True	1960	0.136	10.716	-2.0	0.0180752	-2.8360000000000003	0.0	0.0	104.06	3.0	69.55	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0	5.0	6.0	17.0	0.0	17.0	14.0	26.0	34.938	10.419	21.66	16.039	0.561	-2.9789999999999996	-3.0660000000000003	157.38	-1.161	67.042	-4.728	-0.29100000000000004	4.408	560.629	370.926	189.703	0.0	0.0	1074.911	3.0	10.1	0.031203700000000004	0.9051859	366.4486	0.5133	0	104.06	65.831	92.4442	37.098	0	4	11	26	0
Ailanthone	Bitter	Phyto-Dictionary	[C@@]123[C@@H]4[C@@](O)(OC1)[C@H](O)C(=C)[C@@H]2CC(=O)O[C@@H]3C[C@@H]5[C@]4(C)[C@H](O)C(=O)C=C5C	O=C1O[C@@H]2C[C@H]3C(=CC(=O)[C@H]([C@@]3([C@@H]3[C@@]42[C@@H](C1)C(=C)[C@H]([C@@]3(OC4)O)O)C)O)C	1.0	True	1868	0.541	10.335999999999999	-2.0	0.0315865	-3.3360000000000003	0.0	0.0	113.29	3.0	68.01899999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	6.0	7.0	19.0	0.0	19.0	12.0	27.0	33.376	10.439	21.316999999999997	16.166	0.4	-2.6630000000000003	-3.077	145.855	-1.138	61.751999999999995	-4.603	-0.348	5.685	533.499	286.565	193.18599999999998	53.748000000000005	0.0	1023.062	3.0	9.9	0.0321412	0.9203778	376.4004	-0.5373	0	113.29	70.916	92.6562	36.577	0	5	9	27	0
Cucurbitacin S	Bitter	Phyto-Dictionary	C[C@@H]1C(=O)C[C@@H](C(C)(C)O)O[C@H](C2)[C@H]1[C@](C)([C@@]23C)CC(=O)[C@]4(C)[C@H]3CC=C5[C@H]4C=C(O)C(=O)C5(C)C	O=C1C[C@H](O[C@H]2[C@H]([C@@H]1C)[C@@]1(C)CC(=O)[C@@]3([C@H]([C@@]1(C2)C)CC=C1[C@H]3C=C(O)C(=O)C1(C)C)C)C(O)(C)C	1.0	True	292	0.244	9.605	-2.0	0.0338601	-5.736000000000001	1.0	0.0	100.9	3.0	89.361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	8.0	6.0	22.0	0.0	17.0	14.0	36.0	50.336000000000006	13.411	25.325	14.104000000000001	3.362	-5.4639999999999995	-3.784	244.07299999999998	-1.1159999999999999	107.729	-4.262	0.669	7.015	714.227	517.6990000000001	169.607	26.921	0.0	1453.259	2.0	9.2	0.0182166	0.8687419	498.6509	2.47	1	100.9	85.083	138.3976	53.739	0	5	9	36	0
Cucurbitacin L	Bitter	Phyto-Dictionary	CC(C)(O)CCC(=O)[C@](C)(O)[C@@H]([C@@H](C1)O)[C@](C)([C@@]12C)CC(=O)[C@]3(C)[C@H]2CC=C4[C@H]3C=C(O)C(=O)C4(C)C	OC1=C[C@@H]2C(=CC[C@@H]3[C@@]2(C)C(=O)C[C@]2([C@@]3(C)C[C@H]([C@@H]2[C@](C(=O)CCC(O)(C)C)(O)C)O)C)C(C1=O)(C)C	1.0	True	359	0.486	9.65	-2.0	0.0173666	-5.857	1.0	1.0	132.13	2.0	64.282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	8.0	7.0	17.0	0.0	17.0	11.0	37.0	49.724	14.978	28.21	16.941	2.8930000000000002	-4.985	-4.181	73.053	-2.082	29.247	-4.704	0.42200000000000004	5.162000000000001	761.904	509.83	224.851	27.223000000000003	0.0	1534.1670000000001	4.0	9.95	0.026118799999999998	0.8443315999999998	516.6662	1.6030000000000002	5	132.13	93.667	142.2316	55.15	0	4	8	37	0
Cucurbitacin H	Bitter	Phyto-Dictionary	CC(C)(O)[C@@H](O)CC(=O)[C@](C)(O)[C@@H]([C@@H](C1)O)[C@](C)([C@@]12C)CC(=O)[C@]3(C)[C@H]2CC=C4[C@H]3C[C@H](O)C(=O)C4(C)C	O[C@H]1C[C@@H]2C(=CC[C@@H]3[C@@]2(C)C(=O)C[C@]2([C@@]3(C)C[C@H]([C@@H]2[C@](C(=O)C[C@@H](C(O)(C)C)O)(O)C)O)C)C(C1=O)(C)C	1.0	True	2342	-0.068	9.822000000000001	-2.0	0.0418518	-5.465	1.0	1.0	152.36	2.0	60.855	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	0.0	9.0	8.0	17.0	0.0	17.0	13.0	38.0	49.832	15.09	29.414	18.285999999999998	2.373	-4.574	-4.192	69.55	-2.189	27.734	-4.703	0.17	8.071	774.07	535.086	227.101	11.882	0.0	1556.556	4.0	11.6	0.0299714	0.8391274999999999	534.6814	0.5702	5	152.36	98.666	142.1574	55.979	0	4	10	38	0
Cucurbitacin F	Bitter	Phyto-Dictionary	CC(C)(O)\C=C\C(=O)[C@](C)(O)[C@@H]([C@@H](C1)O)[C@](C)([C@@]12C)CC(=O)[C@]3(C)[C@H]2CC=C4[C@H]3C[C@H](O)[C@@H](O)C4(C)C	O[C@H]1C[C@@H]2C(=CC[C@@H]3[C@@]2(C)C(=O)C[C@]2([C@@]3(C)C[C@H]([C@@H]2[C@](C(=O)/C=C/C(O)(C)C)(O)C)O)C)C([C@@H]1O)(C)C	1.0	True	2527	0.591	9.717	-2.0	0.056537800000000006	-5.374	1.0	1.0	135.29	2.0	63.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	8.0	7.0	17.0	0.0	17.0	14.0	37.0	50.226000000000006	15.273	30.646	18.992	2.583	-4.976	-4.325	79.742	-2.103	32.152	-4.663	0.295	9.357999999999999	777.587	539.0509999999999	220.838	17.697	0.0	1548.985	5.0	10.6	0.030481900000000003	0.8326219000000001	518.682	1.2670000000000001	4	135.29	92.499	142.5808	55.701	0	4	10	37	0
Cucurbitacin C	Bitter	Phyto-Dictionary	CC(=O)OC(C)(C)\C=C\C(=O)[C@](C)(O)[C@@H]([C@@H](C1)O)[C@](C)([C@@]12C)CC(=O)[C@]3(CO)[C@H]2CC=C4[C@H]3CC[C@H](O)C4(C)C	OC[C@]12C(=O)C[C@]3([C@@]([C@@H]2CC=C2[C@H]1CC[C@@H](C2(C)C)O)(C)C[C@H]([C@@H]3[C@](C(=O)/C=C/C(OC(=O)C)(C)C)(O)C)O)C	1.0	True	550	0.7120000000000001	9.712	-2.0	0.0089458	-6.263999999999999	2.0	1.0	141.36	2.0	70.248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	2.0	7.0	8.0	17.0	0.0	17.0	14.0	40.0	54.748000000000005	15.988	28.671	16.195	3.5869999999999997	-5.956	-4.728	93.333	-2.224	38.113	-4.439	0.5720000000000001	3.875	846.015	616.026	213.63099999999997	16.357	0.0	1678.3229999999999	3.0	10.85	0.0222133	0.8073045	560.7187	1.5223	7	141.36	100.333	152.1455	59.457	0	4	9	40	0
Cucurbitacin A	Bitter	Phyto-Dictionary	CC(=O)OC(C)(C)\C=C\C(=O)[C@](C)(O)[C@@H]([C@@H](C1)O)[C@](C)([C@@]12C)CC(=O)[C@]3(CO)[C@H]2CC=C4[C@H]3C[C@H](O)C(=O)C4(C)C	OC[C@]12C(=O)C[C@]3([C@@]([C@@H]2CC=C2[C@H]1C[C@H](O)C(=O)C2(C)C)(C)C[C@H]([C@@H]3[C@](C(=O)/C=C/C(OC(=O)C)(C)C)(O)C)O)C	1.0	True	480	0.684	9.847000000000001	-2.0	0.012460899999999999	-5.8260000000000005	1.0	1.0	158.43	2.0	57.056000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	2.0	7.0	9.0	17.0	0.0	17.0	13.0	41.0	55.467	16.451	30.283	18.483	2.6010000000000004	-5.4	-4.7219999999999995	35.919000000000004	-2.667	13.578	-5.2410000000000005	0.259	4.5969999999999995	851.17	576.226	257.363	17.581	0.0	1695.996	3.0	12.85	0.0261485	0.8080377	574.7022	0.6956	7	158.43	107.5	152.8154	59.543	0	4	9	41	0
Carnosifloside 3	Bitter	Phyto-Dictionary	OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O1)OC[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O2)OC/C(C)=C/CC[C@@H](C)[C@@H](CC3)[C@](C)([C@@]34C)CC(=O)[C@]5(C)[C@H]4CC=C6[C@H]5CC[C@@H](C6(C)C)O[C@H](O7)[C@H](O)[C@@H](O)[C@H](O)[C@H]7CO	OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC/C(=C/CC[C@H]([C@H]3CC[C@@]4([C@]3(C)CC(=O)[C@@]3([C@H]4CC=C4[C@H]3CC[C@@H](C4(C)C)O[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)C)C)C)/C)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O	0.0	True	1066	-0.941	9.237	-2.0	0.0036986999999999996	-5.388	2.0	3.0	294.98	1.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	25.0	3.0	17.0	18.0	35.0	0.0	35.0	29.0	66.0	87.59100000000001	30.953000000000003	63.042	47.548	-1.248	-5.165	-6.746	0.237	-7.88	0.06	-8.023	-1.579	3.182	1382.941	873.0060000000001	487.4	22.534000000000002	0.0	2738.179	11.0	30.9	0.07410560000000001	0.684441	943.1221	0.4525	14	294.98	166.66099999999997	234.5187	93.96700000000001	0	7	23	66	0
Scillaren A	Bitter	Phyto-Dictionary	OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O1)O[C@@H]([C@@H]2C)[C@@H](O)[C@@H](O)[C@@H](O2)O[C@@H](CC3)C=C(CC4)[C@@]3(C)[C@@H](CC5)[C@@H]4[C@](O)([C@]56C)CC[C@@H]6c7ccc(=O)oc7	OC[C@H]1O[C@@H](O[C@H]2[C@H](C)O[C@H]([C@@H]([C@@H]2O)O)O[C@H]2CC[C@]3(C(=C2)CC[C@@H]2[C@@H]3CC[C@]3([C@]2(O)CC[C@@H]3c2ccc(=O)oc2)C)C)[C@@H]([C@H]([C@@H]1O)O)O	1.0	True	246	0.649	9.564	-2.0	0.0369201	-5.3260000000000005	2.0	3.0	208.74	1.0	4.0969999999999995	0.0	0.0	8.0	0.0	0.0	0.0	0.0	12.0	3.0	10.0	13.0	35.0	0.0	35.0	25.0	49.0	65.381	21.177	44.228	32.648	0.27899999999999997	-5.04	-5.864	6.369	-4.0169999999999995	2.093	-6.207000000000001	-0.5820000000000001	8.497	991.4939999999999	551.638	336.585	103.272	0.0	1955.374	7.0	20.25	0.0540361	0.7627136	692.7903	0.9840000000000001	6	208.74	121.413	170.7717	70.92699999999999	1	7	17	49	0
Officinalisnin 1	Bitter	Phyto-Dictionary	OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O1)OC[C@H](C)CC[C@](O)([C@H]2C)O[C@H]([C@H]2[C@]34C)C[C@H]3[C@H]5[C@H](CC4)[C@]6(C)[C@H](CC5)C[C@H](CC6)O[C@H](O7)[C@@H]([C@@H](O)[C@H](O)[C@H]7CO)O[C@H](O8)[C@H](O)[C@@H](O)[C@H](O)[C@H]8CO	OC[C@H]1O[C@@H](O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]2[C@@H]3CC[C@]3([C@H]2C[C@H]2[C@@H]3[C@H](C)[C@@](O2)(O)CC[C@H](CO[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O	0.0	True	371	-1.5330000000000001	10.468	-2.0	0.0145398	-4.941	2.0	3.0	307.37	1.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	25.0	4.0	11.0	19.0	38.0	0.0	38.0	34.0	64.0	80.497	28.0	61.9	47.662	-1.607	-3.451	-5.926	0.78	-6.38	0.21600000000000003	-7.095	-1.672	6.109	1244.392	811.6089999999999	432.783	0.0	0.0	2566.315	12.0	30.4	0.08462660000000001	0.7284746	921.0735	-1.1232	13	307.37	161.24200000000002	220.1643	89.26	0	8	27	64	0
Helianthoside A	Bitter	Phyto-Dictionary	C1CC(C)(C)C[C@H]([C@]12C([O-])=O)C=3[C@@](C)(C[C@H]2O)[C@@]4(C)[C@H](CC3)[C@]5(C)[C@@H](CC4)C(C)(C)[C@H](CC5)O[C@H](O6)[C@H](O)[C@@H](O)[C@@H]([C@H]6CO[C@@H]([C@H](O)[C@H]7O)OC[C@H]7O)O[C@H](O8)[C@H](O)[C@@H]([C@@H](O)[C@@H]8C)O[C@H](O9)[C@H](O)[C@H](O)[C@@H](O)[C@@H]9C	O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)CO[C@@H]1OC[C@H]([C@@H]([C@H]1O)O)O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC=C2[C@@]1(C)C[C@H]([C@@]1([C@H]2CC(C)(C)CC1)C(=O)[O-])O)C)C	0.0	True	2295	-0.905	9.578	-2.0	0.016503099999999996	-6.58	2.0	3.0	336.5	1.0	0.0	0.0	0.0	18.0	0.0	0.0	1.0	0.0	21.0	4.0	13.0	21.0	46.0	0.0	46.0	40.0	74.0	94.527	30.416	67.368	50.443000000000005	-0.602	-4.569	-4.247	0.11800000000000001	-6.483	0.036000000000000004	-7.855	-1.5290000000000001	6.856	1339.3870000000002	865.7539999999999	456.44599999999997	17.187	0.0	2848.59	11.0	33.3	0.08245830000000001	0.7255691999999999	1058.2294	-0.0583	10	336.5	189.326	253.4635	102.947	0	9	28	74	-1
Palmarin	Bitter	Phyto-Dictionary	C[C@]12[C@]3(O)[C@@H]4[C@@H](O4)[C@@H](OC3=O)[C@H]1[C@@]5(C)[C@H](CC2)C(=O)O[C@H](C5)c6ccoc6	O=C1O[C@H](C[C@@]2([C@@H]1CC[C@@]1([C@H]2[C@@H]2OC(=O)[C@@]1(O)[C@@H]1[C@H]2O1)C)C)c1cocc1	1.0	True	1019	-0.135	9.577	-1.0	0.050707199999999994	-3.495	0.0	0.0	98.5	3.0	82.588	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	4.0	7.0	22.0	3.0	19.0	12.0	27.0	33.802	9.974	18.427	13.100999999999999	0.991	-2.136	-2.935	609.05	-0.431	289.45799999999997	-3.283	-0.434	7.053	500.134	232.048	127.728	140.357	0.0	980.962	1.0	9.25	0.0184951	0.9546564000000001	374.3845	0.7621	1	98.5	65.249	86.4505	37.616	1	6	9	27	0
